time_ms,cpu,memory_mb,disk_read,disk_write
0,0,0,0,0
86,0,3,0,0
391,0,336,0,16384
643,1072,692,0,0
895,1254,1025,0,0
1147,1353,1352,0,0
1399,578,1647,0,0
1651,1146,1762,0,0
1903,794,1937,0,0
2155,245,2168,0,0
2407,100,2386,0,0
2659,100,2636,0,0
2911,104,2789,0,33067008
3163,96,2828,0,41373696
3416,436,2958,0,0
3667,148,2431,0,0
3919,177,2504,0,0
4171,159,2590,0,0
4422,159,2686,0,0
4674,119,2709,0,0
4925,107,2714,0,0
5177,135,2736,0,0
5428,107,2748,0,0
5680,107,2753,0,0
5932,278,2740,0,20480
6184,161,2775,0,0
6435,128,2796,0,0
6687,147,2817,0,0
6938,127,2845,0,0
7190,158,2891,0,0
7441,152,3032,0,0
7693,222,3115,0,0
7945,247,3257,0,0
8197,247,3412,0,0
8448,299,3490,0,0
8700,127,3552,0,0
8952,128,3603,0,0
9203,111,3666,0,0
9455,123,3728,0,0
9706,103,3794,0,0
9958,100,3857,0,0
10209,107,4036,0,0
10461,100,4073,0,0
10712,104,4377,0,0
10964,99,4505,0,0
11215,100,4632,0,0
11466,99,4760,0,0
11718,100,4886,0,0
11969,100,5013,0,0
12221,104,5066,0,0
12472,99,5152,0,0
12723,100,5143,0,0
12975,100,5151,0,0
13226,99,5170,0,0
13478,99,5160,0,0
13729,100,5164,0,0
13981,104,5167,0,0
14232,100,5174,0,0
14483,99,5177,0,0
14735,99,5180,0,0
14986,100,5182,0,0
15238,100,5184,0,0
15489,103,5186,0,0
15741,99,5189,0,0
15992,100,5191,0,0
16244,100,5199,0,0
16495,100,5200,0,0
16747,107,5196,0,0
16998,103,5198,0,0
17250,108,5198,0,0
17501,100,5200,0,0
17752,100,5202,0,0
18003,100,5203,0,0
18255,100,5205,0,0
18506,99,5206,0,0
18758,104,5208,0,0
19009,99,5209,0,0
19260,100,5211,0,0
19512,100,5212,0,0
19763,100,5214,0,0
20015,100,5215,0,0
20266,103,5216,0,0
20517,100,5217,0,0
20769,100,5219,0,0
21020,104,5220,0,0
21272,100,5221,0,0
21523,96,5257,0,0
21774,103,5270,0,0
22026,100,5271,0,0
22277,100,5272,0,0
22528,99,5272,0,0
22780,103,5245,0,0
23033,225,5248,0,0
23285,182,5249,0,0
23536,99,5262,0,0
23788,101,5286,0,0
24040,209,5260,0,0
24292,100,5309,0,0
24544,207,5287,0,0
24796,433,5254,0,0
25047,103,5284,0,0
25299,96,5302,0,0
25551,103,5302,0,0
25803,107,5301,0,0
26055,100,5299,0,0
26306,104,5298,0,0
26558,106,5294,0,0
26809,191,5297,0,0
27061,477,5248,0,0
27313,99,5278,0,0
27565,100,5305,0,0
27817,104,5305,0,0
28069,104,5305,0,0
28320,102,5305,0,0
28572,106,5305,0,0
28824,197,5305,0,0
29076,459,5231,0,0
29327,99,5257,0,0
29579,99,5284,0,0
29830,103,5284,0,0
30082,100,5280,0,0
30334,103,5276,0,0
30585,107,5272,0,0
30837,192,5270,0,0
31089,541,5211,0,0
31341,100,5211,0,0
31592,100,5211,0,0
31844,100,5211,0,0
32096,103,5224,0,0
32347,95,5208,0,0
32599,104,5208,0,0
32850,102,5204,0,0
33102,104,5205,0,0
33354,104,5205,0,0
33605,100,5208,0,0
33857,104,5211,0,0
34108,100,5214,0,0
34360,100,5215,0,0
34612,99,5217,0,0
34863,100,5219,0,0
35115,100,5221,0,0
35366,100,5223,0,0
35618,150,5260,0,0
35870,228,5232,0,0
36122,100,5274,0,0
36374,103,5314,0,0
36626,100,5333,0,0
36878,103,5395,0,0
37130,99,5412,0,0
37382,99,5426,0,0
37634,100,5420,0,0
37886,99,5465,0,0
38138,99,5599,0,0
38390,104,5562,0,0
38642,99,5694,0,0
38894,100,5350,0,0
39146,103,5278,0,0
39398,100,5494,0,0
39650,146,5667,0,0
39902,183,5804,0,0
40153,100,5804,0,0
40405,100,5804,0,0
40656,104,5804,0,0
40908,99,5926,0,0
41160,122,5375,0,0
41411,99,5459,0,0
41663,234,5564,0,0
41915,149,5670,0,0
42167,100,5946,0,0
42418,100,6132,0,0
42671,251,5958,0,12058624
42923,148,5496,0,0
43175,118,5318,0,64978944
43427,279,4874,0,21454848
43679,103,4807,0,178196480
43930,100,4903,0,0
44182,103,5047,0,0
44434,363,4808,0,195063808
44686,103,0,0,5148672
44795,0,0,0,0
